ID,util,times30dpd,dti,bad
465,"65,70%",3,"21,00%",0
466,"6,80%",0,"25,00%",0
467,"43,30%",2,"33,00%",0
468,"13,90%",2,"11,00%",0
469,"1,70%",0,"20,00%",0
470,"32,20%",0,"8,00%",0
471,"74,90%",0,"31,00%",1
472,"71,40%",0,"35,00%",0
473,"36,40%",0,"32,00%",0
474,"8,10%",0,"32,00%",0
475,"34,40%",0,"58,00%",1
476,"17,80%",2,"30,00%",0
477,"66,60%",0,"24,00%",0
478,"80,20%",3,"34,00%",0
479,"86,70%",0,"16,00%",0
480,"6,10%",0,"27,00%",0
481,"30,90%",1,"26,00%",0
482,"18,50%",3,"35,00%",0
483,"30,90%",0,"14,00%",0
484,"54,80%",2,"51,00%",0
485,"64,10%",0,"5,00%",0
486,"89,50%",3,"15,00%",1
487,"6,80%",0,"0,00%",0
488,"56,90%",2,"32,00%",1
489,"34,10%",2,"26,00%",0
490,"24,20%",1,"53,00%",1
491,"15,30%",0,"15,00%",0
492,"67,90%",1,"35,00%",0
493,"23,80%",0,"33,00%",0
494,"3,00%",0,"7,00%",0
495,"73,50%",2,"60,00%",1
496,"22,50%",0,"11,00%",0
497,"70,20%",1,"1,00%",0
498,"68,90%",0,"6,00%",0
499,"78,00%",3,"50,00%",1
500,"54,40%",0,"27,00%",1
501,"68,40%",0,"62,00%",1
502,"13,20%",0,"30,00%",0
503,"16,20%",0,"27,00%",0
504,"82,20%",0,"4,00%",0
505,"8,40%",0,"42,00%",0
506,"50,40%",0,"43,00%",0
507,"18,40%",1,"10,00%",0
508,"75,90%",2,"73,00%",1
509,"47,20%",0,"33,00%",0
510,"22,80%",0,"21,00%",0
511,"54,20%",1,"19,00%",0
512,"23,40%",2,"22,00%",1
513,"23,00%",0,"29,00%",0
514,"43,80%",1,"43,00%",0
515,"30,70%",0,"8,00%",0
516,"16,80%",0,"54,00%",1
517,"66,40%",2,"12,00%",1
518,"77,50%",0,"20,00%",0
519,"73,00%",1,"30,00%",0
520,"7,00%",1,"27,00%",0
521,"87,10%",0,"26,00%",0
522,"25,80%",0,"16,00%",0
523,"30,70%",4,"57,00%",1
524,"79,20%",2,"19,00%",0
525,"14,50%",0,"35,00%",0
526,"19,90%",1,"29,00%",0
527,"18,00%",0,"18,00%",0
528,"39,80%",1,"24,00%",0
529,"15,40%",0,"6,00%",0
530,"21,20%",0,"46,00%",1
531,"34,50%",0,"2,00%",0
532,"22,90%",1,"19,00%",0
533,"35,20%",2,"89,00%",1
534,"83,90%",4,"24,00%",1
535,"59,30%",0,"33,00%",0
536,"44,80%",1,"49,00%",0
537,"59,60%",1,"17,00%",0
538,"6,90%",3,"47,00%",1
539,"27,90%",1,"22,00%",1
540,"33,30%",0,"14,00%",0
541,"69,00%",3,"44,00%",1
542,"40,20%",1,"13,00%",0
543,"24,10%",0,"50,00%",0
544,"13,80%",0,"17,00%",0
545,"45,10%",1,"34,00%",0
546,"41,80%",0,"18,00%",0
547,"20,60%",0,"48,00%",0
548,"9,30%",0,"10,00%",0
549,"52,20%",4,"21,00%",0
550,"7,90%",0,"35,00%",0
551,"51,70%",0,"22,00%",0
552,"81,40%",2,"42,00%",1
553,"56,50%",0,"37,00%",0
554,"80,10%",1,"54,00%",1
555,"3,50%",0,"1,00%",0
556,"31,00%",0,"15,00%",0
557,"62,60%",0,"26,00%",0
558,"54,50%",2,"42,00%",0
559,"19,10%",0,"34,00%",0
560,"82,00%",3,"53,00%",1
561,"67,40%",3,"19,00%",0
562,"20,30%",1,"41,00%",0
563,"8,60%",0,"36,00%",0
564,"52,20%",2,"40,00%",1
565,"11,40%",0,"53,00%",0
566,"8,10%",0,"19,00%",0
567,"77,50%",2,"45,00%",1
568,"71,40%",0,"2,00%",0
569,"79,80%",1,"19,00%",0
570,"46,20%",0,"20,00%",0
571,"39,50%",1,"11,00%",0
572,"68,60%",0,"11,00%",0
573,"68,30%",1,"9,00%",0
574,"50,80%",0,"30,00%",0
575,"55,90%",2,"48,00%",0
576,"23,50%",2,"65,00%",1
577,"72,00%",1,"29,00%",1
578,"57,40%",0,"45,00%",0
579,"69,50%",1,"27,00%",1
580,"7,30%",0,"24,00%",0
581,"13,70%",2,"50,00%",1
582,"17,30%",0,"18,00%",0
583,"18,30%",0,"22,00%",0
584,"81,40%",3,"21,00%",0
585,"11,30%",1,"42,00%",0
586,"0,10%",0,"22,00%",0
587,"63,10%",1,"2,00%",0
588,"18,90%",0,"11,00%",0
589,"67,90%",1,"44,00%",0
590,"52,10%",2,"17,00%",0
591,"43,20%",1,"25,00%",0
592,"15,00%",2,"3,00%",0
593,"7,50%",0,"32,00%",0
594,"21,80%",0,"20,00%",0
595,"58,90%",0,"41,00%",0
596,"15,70%",1,"28,00%",0
597,"8,40%",0,"31,00%",0
598,"46,60%",1,"33,00%",0
599,"47,40%",1,"6,00%",0
600,"44,40%",0,"38,00%",0
601,"64,20%",0,"14,00%",0
602,"34,20%",2,"45,00%",0
603,"16,50%",0,"24,00%",0
604,"49,90%",0,"42,00%",0
605,"18,00%",0,"58,00%",0
606,"67,80%",2,"14,00%",0
607,"4,20%",1,"27,00%",0
608,"82,30%",2,"24,00%",0
609,"81,10%",3,"59,00%",1
610,"45,10%",0,"27,00%",0
611,"74,40%",0,"60,00%",0
612,"76,80%",1,"42,00%",1
613,"68,30%",0,"44,00%",0
614,"12,40%",0,"8,00%",0
615,"75,20%",0,"25,00%",0
616,"68,30%",3,"22,00%",0
617,"47,90%",0,"34,00%",0
618,"6,50%",2,"11,00%",0
619,"18,60%",0,"32,00%",0
620,"4,30%",0,"29,00%",0
621,"52,90%",3,"51,00%",1
622,"27,40%",0,"21,00%",0
623,"4,70%",1,"45,00%",0
624,"76,80%",1,"35,00%",0
625,"38,50%",0,"2,00%",0
626,"54,20%",0,"28,00%",0
627,"31,40%",0,"30,00%",0
628,"77,50%",0,"58,00%",0
629,"7,70%",0,"40,00%",0
630,"29,10%",0,"3,00%",0
631,"66,00%",1,"49,00%",1
632,"63,90%",0,"27,00%",0
633,"36,10%",0,"41,00%",0
634,"74,70%",1,"26,00%",0
635,"73,70%",0,"42,00%",1
636,"32,00%",2,"16,00%",0
637,"26,70%",1,"12,00%",0
638,"57,20%",0,"12,00%",0
639,"89,70%",0,"12,00%",0
640,"25,00%",2,"30,00%",0
641,"20,20%",0,"8,00%",0
642,"86,00%",4,"26,00%",1
643,"35,80%",0,"21,00%",0
644,"0,00%",0,"7,00%",0
645,"58,30%",0,"18,00%",0
646,"0,20%",0,"18,00%",0
647,"37,10%",0,"46,00%",1
648,"63,30%",3,"77,00%",1
649,"45,70%",0,"29,00%",1
650,"13,10%",0,"1,00%",0
651,"90,10%",0,"56,00%",1
652,"19,70%",1,"6,00%",0
653,"64,20%",0,"30,00%",0
654,"62,50%",0,"21,00%",0
655,"71,20%",2,"20,00%",0
656,"10,30%",0,"31,00%",0
657,"3,20%",0,"0,00%",0
658,"13,80%",2,"55,00%",1
659,"31,90%",0,"15,00%",0
660,"51,10%",0,"38,00%",0
661,"31,30%",0,"59,00%",0
662,"75,20%",0,"49,00%",0
663,"10,10%",0,"16,00%",0
664,"20,30%",1,"30,00%",0
665,"5,20%",1,"24,00%",0
666,"48,20%",1,"22,00%",1
667,"45,40%",3,"54,00%",1
668,"36,80%",1,"44,00%",0
669,"25,70%",0,"25,00%",0
670,"44,00%",2,"28,00%",1
671,"52,10%",0,"53,00%",1
672,"33,40%",0,"10,00%",0
673,"3,60%",0,"14,00%",0
674,"79,00%",1,"65,00%",0
675,"38,80%",0,"32,00%",1
676,"51,40%",1,"31,00%",0
677,"35,50%",0,"22,00%",0
678,"45,40%",0,"45,00%",0
679,"19,60%",1,"17,00%",0
680,"7,20%",0,"7,00%",0
681,"13,60%",1,"25,00%",0
682,"27,40%",2,"15,00%",0
683,"81,40%",1,"26,00%",1
684,"58,10%",0,"39,00%",0
685,"8,90%",1,"28,00%",0
686,"35,90%",0,"7,00%",0
687,"43,40%",0,"21,00%",0
688,"53,40%",0,"25,00%",0
689,"51,70%",2,"34,00%",1
690,"42,90%",0,"16,00%",0
691,"44,40%",0,"4,00%",0
692,"10,80%",0,"7,00%",0
693,"9,30%",2,"36,00%",0
694,"11,00%",0,"26,00%",0
695,"15,90%",1,"39,00%",0
696,"22,20%",0,"1,00%",0
697,"0,70%",0,"50,00%",0
698,"58,10%",3,"1,00%",0
699,"7,00%",2,"13,00%",0
700,"15,90%",2,"15,00%",1
701,"10,10%",1,"19,00%",0
702,"71,60%",0,"36,00%",0
703,"84,50%",0,"8,00%",0
704,"43,30%",0,"24,00%",0
705,"40,20%",0,"2,00%",0
706,"8,30%",1,"22,00%",0
707,"62,60%",2,"76,00%",1
708,"8,80%",0,"2,00%",0
709,"55,40%",3,"43,00%",1
710,"55,80%",0,"51,00%",0
711,"28,10%",1,"5,00%",0
712,"38,60%",0,"17,00%",0
713,"24,80%",0,"11,00%",0
714,"2,50%",0,"28,00%",0
715,"47,40%",1,"11,00%",0
716,"11,10%",0,"0,00%",0
717,"6,10%",0,"27,00%",0
718,"7,00%",0,"4,00%",0
719,"13,20%",0,"24,00%",0
720,"30,90%",2,"20,00%",0
721,"47,20%",3,"47,00%",1
722,"21,90%",0,"56,00%",0
723,"7,20%",0,"17,00%",0
724,"22,10%",1,"13,00%",0
725,"14,40%",1,"30,00%",0
726,"11,50%",0,"24,00%",0
727,"2,90%",0,"31,00%",0
728,"20,30%",0,"41,00%",0
729,"17,50%",2,"12,00%",1
730,"4,90%",0,"2,00%",0
731,"66,50%",1,"42,00%",1
732,"19,10%",0,"5,00%",0
733,"73,70%",1,"53,00%",0
734,"51,40%",1,"25,00%",1
735,"76,70%",1,"46,00%",1
736,"12,80%",2,"44,00%",0
737,"35,10%",2,"31,00%",0
738,"8,80%",1,"48,00%",1
739,"53,30%",2,"65,00%",0
740,"45,70%",0,"22,00%",0
741,"7,50%",0,"30,00%",0
742,"24,80%",2,"30,00%",0
743,"64,50%",3,"39,00%",0
744,"3,50%",0,"49,00%",0
745,"49,20%",0,"4,00%",0
746,"75,60%",0,"46,00%",1
747,"38,10%",0,"3,00%",0
748,"43,60%",1,"7,00%",0
749,"13,30%",2,"45,00%",0
750,"21,10%",1,"18,00%",0
751,"66,20%",2,"15,00%",0
752,"33,90%",0,"24,00%",0
753,"61,60%",1,"45,00%",1
754,"34,30%",2,"9,00%",0
755,"72,10%",0,"31,00%",0
756,"20,80%",1,"40,00%",0
757,"7,20%",0,"4,00%",0
758,"22,40%",2,"7,00%",0
759,"43,80%",0,"14,00%",0
760,"11,70%",0,"51,00%",0
761,"35,80%",0,"42,00%",0
762,"25,40%",1,"24,00%",0
763,"5,90%",0,"20,00%",0
764,"20,00%",2,"26,00%",0
765,"68,90%",1,"61,00%",1
766,"2,80%",0,"13,00%",0
767,"54,30%",0,"41,00%",0
768,"60,80%",3,"2,00%",0
769,"30,10%",2,"12,00%",0
770,"56,90%",0,"19,00%",0
771,"26,40%",0,"20,00%",0
772,"74,50%",0,"37,00%",0
773,"74,30%",1,"9,00%",1
774,"11,60%",0,"45,00%",0
775,"13,30%",0,"6,00%",0
